type,price,location,bath,area,bed,Possession,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Public Transport,Nearby Restaurants,Security Staff
Residential Plot,PKR45 Lakh,"Bahria Town Phase 8 - Bahria Orchard, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,-,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR1.35 Crore,"Bahria Town Phase 8 - Block G, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,13 Marla,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR2.15 Crore,"Bahria Town Phase 8 - Block I, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1 Kanal,-,-,-,-,-,-,-,-,-,-,-,-,-
Residential Plot,PKR1.78 Crore,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1 Kanal,-,Yes,-,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR2.35 Crore,"Bahria Greens - Overseas Enclave - Sector 5, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,1.1 Kanal,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR78 Lakh,"Bahria Town Phase 8 - Rafi Block, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,5 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Residential Plot,PKR1.03 Crore,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,7 Marla,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Commercial Plot,PKR1.3 Crore,"Bahria Greens - Overseas Enclave - Sector 3, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,2 Marla,-,Yes,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes
Commercial Plot,PKR1.3 Crore,"Bahria Greens - Overseas Enclave - Sector 3, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,2 Marla,-,Yes,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes
Commercial Plot,PKR1.3 Crore,"Bahria Greens - Overseas Enclave - Sector 3, Bahria Greens - Overseas Enclave, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab",-,2 Marla,-,Yes,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes
